instance,formulation,obj_int,time_int,obj_relax,time_relax,gap,vars,constr,iterations
instance_10_circle_1.txt,MTZ,298.57000000000005,1.9391585999983363,249.8577776498,0.10498280002502725,0.16315176457849095,99,92,
instance_10_circle_1.txt,DFJ_enum,298.57000000000005,0.5029283000039868,298.57000000000005,0.32610470001236536,0.0,90,1032,
instance_10_circle_1.txt,DFJ_iter,298.57000000000005,0.2740924000099767,,,,90,28,2.0
instance_10_euclidean_1.txt,MTZ,207.85,0.26276969999889843,200.422222201,0.07588910000049509,0.03573624151551592,99,92,
instance_10_euclidean_1.txt,DFJ_enum,207.85,0.2220499999821186,207.85,0.1791885000129696,0.0,90,1032,
instance_10_euclidean_1.txt,DFJ_iter,207.85,0.24872389997472055,,,,90,25,1.0
instance_10_euclidean_2.txt,MTZ,323.92,0.3039545000065118,313.0288888798,0.07785559998592362,0.03362284243084723,99,92,
instance_10_euclidean_2.txt,DFJ_enum,323.92,0.20235030000912957,323.92,0.15927299999748357,0.0,90,1032,
instance_10_euclidean_2.txt,DFJ_iter,323.92,0.2757008000044152,,,,90,28,2.0
instance_10_line_1.txt,MTZ,156.14,1.602957700000843,81.67777775920001,0.076586099981796,0.47689395568592274,99,92,
instance_10_line_1.txt,DFJ_enum,156.14,0.22162799999932759,156.14,0.15078739999444224,0.0,90,1032,
instance_10_line_1.txt,DFJ_iter,156.14,0.41256409997004084,,,,90,33,4.0
instance_10_random_asym_1.txt,MTZ,191.52999999999997,0.10952159998123534,191.52999999999997,0.0730557999922894,0.0,99,92,
instance_10_random_asym_1.txt,DFJ_enum,191.52999999999997,0.2084647000010591,191.52999999999997,0.14576499999384396,0.0,90,1032,
instance_10_random_asym_1.txt,DFJ_iter,191.52999999999997,0.08507440000539646,,,,90,20,0.0
instance_10_random_sym_1.txt,MTZ,280.99000000000007,0.44206329999724403,262.3977775252601,0.07952310002292506,0.06616684748475023,99,92,
instance_10_random_sym_1.txt,DFJ_enum,280.99000000000007,0.21794620002037846,280.99000000000007,0.1767192000115756,0.0,90,1032,
instance_10_random_sym_1.txt,DFJ_iter,280.98999999999995,0.2663182999822311,,,,90,28,2.0
instance_12_circle_1.txt,MTZ,265.22,1.3236752999946475,177.26090894939995,0.22801339998841286,0.33164576974059295,143,134,
instance_12_circle_1.txt,DFJ_enum,265.22,2.449916400015354,265.22,1.4875304999877699,0.0,132,4106,
instance_12_circle_1.txt,DFJ_iter,265.22,0.5965680000372231,,,,132,39,4.0
instance_12_line_1.txt,MTZ,174.79999999999998,5.2788271000026725,111.50181820333998,0.21494789997814223,0.3621177448321511,143,134,
instance_12_line_1.txt,DFJ_enum,174.8,1.2008424999949057,174.80000000000004,0.5277621000132058,-1.6259559170711674e-16,132,4106,
instance_12_line_1.txt,DFJ_iter,174.8,0.8651549000060186,,,,132,43,6.0
instance_14_circle_1.txt,MTZ,304.47999999999996,2.7128646000055596,222.61307658199996,0.08091760001843795,0.268874551425381,195,184,
instance_14_circle_1.txt,DFJ_enum,304.47999999999996,4.859047699981602,304.47999999999996,2.603352800011635,0.0,182,16396,
instance_14_circle_1.txt,DFJ_iter,304.47999999999996,0.2421432000119239,,,,182,34,1.0
instance_14_line_1.txt,MTZ,188.01999999999998,20.77545809998992,71.64923068963999,0.0835271000105422,0.6189276104157004,195,184,
instance_14_line_1.txt,DFJ_enum,188.01999999999998,5.5348010000016075,188.02000000000004,2.6652702999999747,-3.0232644857359864e-16,182,16396,
instance_14_line_1.txt,DFJ_iter,188.01999999999998,0.7939718999841716,,,,182,53,7.0
instance_15_euclidean_1.txt,MTZ,306.7,4.105164300010074,229.06285704459998,0.14202769999974407,0.2531370816935116,224,212,
instance_15_euclidean_1.txt,DFJ_enum,306.70000000000005,10.486689099983778,306.70000000000005,12.41433309999411,0.0,210,32781,
instance_15_euclidean_1.txt,DFJ_iter,306.7,0.8802312999614514,,,,210,50,5.0
instance_15_euclidean_2.txt,MTZ,345.90999999999997,10.824676599993836,243.83714277552,0.09209419999388047,0.2950850140917579,224,212,
instance_15_euclidean_2.txt,DFJ_enum,345.90999999999997,11.16194779999205,345.90999999999997,5.877251000027172,0.0,210,32781,
instance_15_euclidean_2.txt,DFJ_iter,345.90999999999997,0.40482739999424666,,,,210,45,3.0
instance_15_random_asym_1.txt,MTZ,342.94,0.23829059998388402,342.68571428189995,0.10243939998326823,0.0007414874849829415,224,212,
instance_15_random_asym_1.txt,DFJ_enum,342.94,10.298403799999505,342.94,5.885271600011038,0.0,210,32781,
instance_15_random_asym_1.txt,DFJ_iter,342.94,0.21919800000614487,,,,210,32,1.0
instance_15_random_sym_1.txt,MTZ,377.49999999999994,1.1400968999951147,332.77142754320005,0.10937610000837594,0.11848628465377457,224,212,
instance_15_random_sym_1.txt,DFJ_enum,377.5,10.143246200022986,377.5,5.821406100003514,0.0,210,32781,
instance_15_random_sym_1.txt,DFJ_iter,377.49999999999994,0.19133310002507642,,,,210,37,1.0
instance_20_euclidean_1.txt,MTZ,370.13,0.9118373999954201,316.0557895952,0.11924989998806268,0.14609518386728987,399,382,
instance_20_euclidean_1.txt,DFJ_iter,370.13,0.27303589999792166,,,,380,50,1.0
instance_20_euclidean_2.txt,MTZ,396.74999999999994,23.90317979999236,337.0299999994899,0.09264570000232197,0.1505229993711658,399,382,
instance_20_euclidean_2.txt,DFJ_iter,396.74999999999994,0.34273230002145283,,,,380,56,2.0
instance_20_random_asym_1.txt,MTZ,324.08000000000004,0.5070495999825653,319.54315786399997,0.09629590000258759,0.013999142606763992,399,382,
instance_20_random_asym_1.txt,DFJ_iter,324.08000000000004,0.24224049999611452,,,,380,43,1.0
instance_20_random_sym_1.txt,MTZ,371.1000000000001,4.26721659998293,356.49578949920004,0.149032499990426,0.03935384128482897,399,382,
instance_20_random_sym_1.txt,DFJ_iter,371.1000000000001,1.3570823000045493,,,,380,59,5.0
instance_25_euclidean_1.txt,MTZ,410.26000000000005,12.906976099999156,347.15624963918003,0.20142769999802113,0.1538140456315995,624,602,
instance_25_euclidean_1.txt,DFJ_iter,410.25999999999993,1.6964825999748427,,,,600,72,4.0
instance_25_euclidean_2.txt,MTZ,418.56000000000006,44.76906940000481,364.49500025670005,0.11660670000128448,0.12916905519710437,624,602,
instance_25_euclidean_2.txt,DFJ_iter,418.56000000000006,0.6277345000416972,,,,600,74,4.0
